Occupation,Probability,A_MEAN,EMPLOYEES,EDUCATION
"Healthcare Support Workers, All Other",0.63,39110,88990,High school diploma or equivalent
First-Line Supervisors of Food Preparation and Serving Workers,0.63,36190,964400,High school diploma or equivalent
"Cutters and Trimmers, Hand",0.64,31600,10580,No formal educational credential
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.64,101210,14280,Doctoral or professional degree
Power Distributors and Dispatchers,0.64,85340,11620,High school diploma or equivalent
"Insulation Workers, Mechanical",0.64,53180,24610,High school diploma or equivalent
Electronic Home Entertainment Equipment Installers and Repairers,0.65,39800,26070,Postsecondary nondegree award
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,28950,2156270,No formal educational credential
Motorboat Mechanics and Service Technicians,0.66,42330,22280,High school diploma or equivalent
"Paper Goods Machine Setters, Operators, and Tenders",0.67,40320,97960,High school diploma or equivalent
Foundry Mold and Coremakers,0.67,36820,15600,High school diploma or equivalent
"Bus Drivers, Transit and Intercity",0.67,44650,174110,High school diploma or equivalent
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,24420,144370,No formal educational credential
Industrial Machinery Mechanics,0.67,54000,362440,High school diploma or equivalent
Postal Service Mail Carriers,0.68,51780,342410,High school diploma or equivalent
Mechanical Drafters,0.68,59010,56170,Associate's degree
Light Truck or Delivery Services Drivers,0.69,36920,915310,High school diploma or equivalent
Maids and Housekeeping Cleaners,0.69,25570,924290,No formal educational credential
"Painters, Transportation Equipment",0.69,46460,55710,High school diploma or equivalent
Tire Repairers and Changers,0.7,29530,111620,High school diploma or equivalent
Food Batchmakers,0.7,32090,160160,High school diploma or equivalent
Avionics Technicians,0.7,65330,18860,Associate's degree
Airfield Operations Specialists,0.71,56760,9960,High school diploma or equivalent
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.71,70630,38930,High school diploma or equivalent
Amusement and Recreation Attendants,0.72,23460,319890,No formal educational credential
Pharmacy Aides,0.72,29190,36970,High school diploma or equivalent
Public Address System and Other Announcers,0.72,39040,7480,High school diploma or equivalent
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.73,30470,21190,High school diploma or equivalent
"Coil Winders, Tapers, and Finishers",0.73,36610,12190,High school diploma or equivalent
Broadcast Technicians,0.74,46770,31580,Associate's degree
Tile and Marble Setters,0.75,45950,39130,No formal educational credential
"Painters, Construction and Maintenance",0.75,43050,228420,No formal educational credential
Civil Engineering Technicians,0.75,54670,71150,Associate's degree
Farm Equipment Mechanics and Service Technicians,0.75,42190,34300,High school diploma or equivalent
Archivists,0.76,56400,6370,Master's degree
Chemical Equipment Operators and Tenders,0.76,51070,82880,High school diploma or equivalent
"Electric Motor, Power Tool, and Related Repairers",0.76,45770,15800,High school diploma or equivalent
Fallers,0.76,48520,4680,High school diploma or equivalent
"Environmental Science and Protection Technicians, Including Health",0.77,50350,32600,Associate's degree
Locksmiths and Safe Repairers,0.77,43740,16970,High school diploma or equivalent
Tree Trimmers and Pruners,0.77,40510,42440,High school diploma or equivalent
Medical Equipment Preparers,0.78,37990,55610,High school diploma or equivalent
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.78,36180,186640,High school diploma or equivalent
Gas Plant Operators,0.78,71470,14620,High school diploma or equivalent
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.79,51250,103830,High school diploma or equivalent
Heavy and Tractor-Trailer Truck Drivers,0.79,45570,1800330,Postsecondary nondegree award
Shampooers,0.79,22160,13720,No formal educational credential
Drywall and Ceiling Tile Installers,0.79,49170,101900,No formal educational credential
Motorcycle Mechanics,0.79,39260,15090,Postsecondary nondegree award
Logging Equipment Operators,0.79,41840,25730,High school diploma or equivalent
"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.79,46760,14050,No formal educational credential
Barbers,0.8,33220,20130,Postsecondary nondegree award
"Derrick Operators, Oil and Gas",0.8,47630,11310,No formal educational credential
"Cooks, Fast Food",0.81,22650,487510,No formal educational credential
Word Processors and Typists,0.81,41160,53130,High school diploma or equivalent
Electrical and Electronics Drafters,0.81,64400,24900,Associate's degree
Electro-Mechanical Technicians,0.81,60240,13520,Associate's degree
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.81,33090,17630,High school diploma or equivalent
Medical Secretaries,0.81,37090,585410,High school diploma or equivalent
Security and Fire Alarm Systems Installers,0.82,48540,70900,High school diploma or equivalent
"Refractory Materials Repairers, Except Brickmasons",0.82,52510,1120,High school diploma or equivalent
Pile-Driver Operators,0.82,64360,3450,High school diploma or equivalent
Brickmasons and Blockmasons,0.82,54430,63930,High school diploma or equivalent
"Cooks, Institution and Cafeteria",0.83,28290,400320,No formal educational credential
"Mixing and Blending Machine Setters, Operators, and Tenders",0.83,39360,128600,High school diploma or equivalent
"Insulation Workers, Floor, Ceiling, and Wall",0.83,42070,31840,No formal educational credential
Printing Press Operators,0.83,38470,173470,High school diploma or equivalent
Baggage Porters and Bellhops,0.83,26990,42350,High school diploma or equivalent
Gaming Change Persons and Booth Cashiers,0.83,27220,22020,No formal educational credential
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.83,40790,26700,High school diploma or equivalent
"Paving, Surfacing, and Tamping Equipment Operators",0.83,44360,46760,High school diploma or equivalent
Electrical and Electronics Engineering Technicians,0.84,65050,126950,Associate's degree
"Layout Workers, Metal and Plastic",0.84,47380,8170,High school diploma or equivalent
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.84,41090,29510,High school diploma or equivalent
Security Guards,0.84,32050,1114380,High school diploma or equivalent
"Tailors, Dressmakers, and Custom Sewers",0.84,34330,21150,No formal educational credential
Wellhead Pumpers,0.84,53870,13280,High school diploma or equivalent
"Laborers and Freight, Stock, and Material Movers, Hand",0.85,30890,2893180,No formal educational credential
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.85,69480,1350180,High school diploma or equivalent
Power Plant Operators,0.85,78030,33920,High school diploma or equivalent
Chemical Plant and System Operators,0.85,61570,28190,High school diploma or equivalent
Executive Secretaries and Executive Administrative Assistants,0.86,61550,570530,High school diploma or equivalent
"Plant and System Operators, All Other",0.86,58300,12270,High school diploma or equivalent
"Sawing Machine Setters, Operators, and Tenders, Wood",0.86,31200,52260,High school diploma or equivalent
Veterinary Assistants and Laboratory Animal Caretakers,0.86,28690,89480,High school diploma or equivalent
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.86,35700,60840,High school diploma or equivalent
Real Estate Sales Agents,0.86,61720,156760,High school diploma or equivalent
"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.86,41960,148150,High school diploma or equivalent
"Maintenance Workers, Machinery",0.86,48720,80270,High school diploma or equivalent
"Pourers and Casters, Metal",0.87,39670,7850,High school diploma or equivalent
Carpet Installers,0.87,44550,26100,No formal educational credential
Paperhangers,0.87,40840,2780,No formal educational credential
Floor Sanders and Finishers,0.87,39890,4460,No formal educational credential
Cartographers and Photogrammetrists,0.88,68340,11050,Bachelor's degree
Metal-Refining Furnace Operators and Tenders,0.88,41810,17670,High school diploma or equivalent
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.88,44140,49770,High school diploma or equivalent
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.88,35500,18130,High school diploma or equivalent
Terrazzo Workers and Finishers,0.88,47230,2730,High school diploma or equivalent
"Tool Grinders, Filers, and Sharpeners",0.88,40890,7070,High school diploma or equivalent
Rail Car Repairers,0.88,56020,24720,High school diploma or equivalent
Medical Transcriptionists,0.89,36350,53730,Postsecondary nondegree award
Stonemasons,0.89,44370,12310,High school diploma or equivalent
"Bus Drivers, School or Special Client",0.89,33390,504150,High school diploma or equivalent
Technical Writers,0.89,75500,50350,Bachelor's degree
Riggers,0.89,51330,20970,High school diploma or equivalent
"Patternmakers, Metal and Plastic",0.9,47130,2880,High school diploma or equivalent
"Molders, Shapers, and Casters, Except Metal and Plastic",0.9,35190,42500,High school diploma or equivalent
"Pump Operators, Except Wellhead Pumpers",0.9,47510,10820,High school diploma or equivalent
Signal and Track Switch Repairers,0.9,67800,7730,High school diploma or equivalent
Gaming and Sports Book Writers and Runners,0.91,27640,11150,High school diploma or equivalent
